Item	Subject	Block	Stimuli	Context	Correct	Response	RT	RT_log	Lg_Heard	Main_Context	Group
A182	BE_06	Block3	Stim18	CSSE	1	CS	354	2.549003262	Sp	CS	supsw
A183	BE_03	Block3	Stim18	CSSE	0	ML	282	2.450249108	Sp	CS	nonsw
A184	BE_06	Block3	Stim23	CSSE	1	CS	845	2.926856709	Sp	CS	supsw
A185	BE_03	Block3	Stim22	CSSE	1	CS	854	2.931457871	Sp	CS	nonsw
A186	BE_06	Block3	Stim30	CSSE	1	CS	818	2.912753304	Sp	CS	supsw
A187	BE_03	Block3	Stim23	CSSE	0	ML	274	2.437750563	Sp	CS	nonsw
A188	BE_06	Block3	Stim06	CSSE	1	CS	281	2.44870632	Sp	CS	supsw
A189	BE_03	Block3	Stim24	CSSE	0	ML	372	2.57054294	Sp	CS	nonsw
A190	BE_06	Block3	Stim13	CSSE	0	ML	2003	3.301680949	Sp	CS	supsw
A191	BE_03	Block3	Stim30	CSSE	0	ML	889	2.948901761	Sp	CS	nonsw
A192	BE_06	Block3	Stim22	CSSE	0	ML	3003	3.477555332	Sp	CS	supsw
A193	BE_03	Block3	Stim36	CSSE	0	ML	328	2.515873844	Sp	CS	nonsw
A194	BE_06	Block3	Stim24	CSSE	0	ML	591	2.771587481	Sp	CS	supsw
A195	BE_03	Block3	Stim04	CSSE	0	ML	1439	3.158060794	Sp	CS	nonsw
A196	BE_06	Block3	Stim36	CSSE	0	ML	565	2.752048448	Sp	CS	supsw
A197	BE_03	Block3	Stim05	CSSE	0	ML	560	2.748188027	Sp	CS	nonsw
A198	BE_06	Block3	Stim04	CSSE	0	ML	566	2.752816431	Sp	CS	supsw
A199	BE_03	Block3	Stim06	CSSE	0	ML	467	2.669316881	Sp	CS	nonsw
A200	BE_06	Block3	Stim05	CSSE	0	ML	1526	3.183554534	Sp	CS	supsw
A201	BE_03	Block3	Stim14	E	1	ML	886	2.947433722	Eng	ML	nonsw
A202	BE_06	Block3	Stim14	E	0	CS	335	2.525044807	Eng	ML	supsw
A203	BE_03	Block3	Stim15	E	1	ML	364	2.561101384	Eng	ML	nonsw
A204	BE_06	Block3	Stim16	E	0	CS	1129	3.052693942	Eng	ML	supsw
A205	BE_03	Block3	Stim16	E	1	ML	260	2.414973348	Eng	ML	nonsw
A206	BE_06	Block3	Stim38	E	0	CS	551	2.741151599	Eng	ML	supsw
A207	BE_03	Block3	Stim33	E	0	CS	260	2.414973348	Eng	ML	nonsw
A208	BE_06	Block3	Stim15	E	1	ML	1476	3.169086357	Eng	ML	supsw
A209	BE_03	Block3	Stim34	E	1	ML	1305	3.115610512	Eng	ML	nonsw
A210	BE_06	Block3	Stim33	E	1	ML	1234	3.09131516	Eng	ML	supsw
A211	BE_03	Block3	Stim35	E	1	ML	920	2.963787827	Eng	ML	nonsw
A212	BE_06	Block3	Stim34	E	1	ML	1356	3.13225969	Eng	ML	supsw
A213	BE_03	Block3	Stim37	E	1	ML	348	2.541579244	Eng	ML	nonsw
A214	BE_06	Block3	Stim35	E	1	ML	2169	3.336259552	Eng	ML	supsw
A215	BE_03	Block3	Stim38	E	1	ML	1054	3.022840611	Eng	ML	nonsw
A216	BE_06	Block3	Stim37	E	1	ML	623	2.794488047	Eng	ML	supsw
A217	BE_03	Block3	Stim39	E	1	ML	1151	3.061075324	Eng	ML	nonsw
A218	BE_06	Block3	Stim39	E	1	ML	661	2.820201459	Eng	ML	supsw
A219	BE_03	Block3	Stim40	E	1	ML	307	2.487138375	Eng	ML	nonsw
A220	BE_06	Block3	Stim40	E	1	ML	3470	3.540329475	Eng	ML	supsw
A221	BE_03	Block3	Stim10	S	1	ML	585	2.767155866	Sp	ML	nonsw
A222	BE_06	Block3	Stim10	S	0	CS	802	2.904174368	Sp	ML	supsw
A223	BE_03	Block3	Stim11	S	1	ML	2200	3.342422681	Sp	ML	nonsw
A224	BE_06	Block3	Stim11	S	0	CS	838	2.923244019	Sp	ML	supsw
A225	BE_03	Block3	Stim12	S	1	ML	325	2.511883361	Sp	ML	nonsw
A226	BE_06	Block3	Stim19	S	0	CS	2551	3.406710459	Sp	ML	supsw
A227	BE_03	Block3	Stim19	S	1	ML	304	2.482873584	Sp	ML	nonsw
A228	BE_06	Block3	Stim25	S	0	CS	304	2.482873584	Sp	ML	supsw
A229	BE_03	Block3	Stim20	S	1	ML	442	2.645422269	Sp	ML	nonsw
A230	BE_06	Block3	Stim31	S	0	CS	1404	3.147367108	Sp	ML	supsw
A231	BE_03	Block3	Stim25	S	1	ML	354	2.549003262	Sp	ML	nonsw
A232	BE_06	Block3	Stim07	S	0	CS	2085	3.319106059	Sp	ML	supsw
A233	BE_03	Block3	Stim31	S	1	ML	913	2.960470778	Sp	ML	nonsw
A234	BE_06	Block3	Stim08	S	0	CS	364	2.561101384	Sp	ML	supsw
A235	BE_03	Block3	Stim07	S	1	ML	859	2.933993164	Sp	ML	nonsw
A236	BE_06	Block3	Stim09	S	0	CS	554	2.743509765	Sp	ML	supsw
A237	BE_03	Block3	Stim08	S	1	ML	316	2.499687083	Sp	ML	nonsw
A238	BE_06	Block3	Stim12	S	1	ML	1352	3.130976692	Sp	ML	supsw
A239	BE_03	Block3	Stim09	S	1	ML	291	2.463892989	Sp	ML	nonsw
A240	BE_06	Block3	Stim20	S	1	ML	211	2.324282455	Sp	ML	supsw
A241	BE_03	Block4	Stim01	CSES	0	ML	304	2.482873584	Eng	CS	nonsw
A242	BE_06	Block4	Stim01	CSES	1	CS	926	2.966610987	Eng	CS	supsw
A243	BE_03	Block4	Stim17	CSES	0	ML	802	2.904174368	Eng	CS	nonsw
A244	BE_06	Block4	Stim21	CSES	1	CS	648	2.811575006	Eng	CS	supsw
A245	BE_03	Block4	Stim02	CSES	0	ML	811	2.909020854	Eng	CS	nonsw
A246	BE_06	Block4	Stim27	CSES	1	CS	379	2.57863921	Eng	CS	supsw
