"Item"	"Subject"	"Block"	"Stimuli"	"Context"	"Correct"	"Response"	"RT"	"RT_log"	"Lg_Heard"	"Main_Context"	"Group"
"95"	"A95"	"BE_03"	"Block2"	"Stim29"	"CSES"	1	"CS"	990	2.995635195	"Eng"	"CS"	"nonsw"
"96"	"A96"	"BE_06"	"Block2"	"Stim17"	"CSES"	0	"ML"	795	2.900367129	"Eng"	"CS"	"supsw"
"97"	"A97"	"BE_03"	"Block2"	"Stim03"	"CSES"	0	"ML"	879	2.943988875	"Eng"	"CS"	"nonsw"
"98"	"A98"	"BE_06"	"Block2"	"Stim26"	"CSES"	0	"ML"	619	2.791690649	"Eng"	"CS"	"supsw"
"99"	"A99"	"BE_03"	"Block2"	"Stim32"	"CSES"	1	"CS"	3715	3.569958818	"Eng"	"CS"	"nonsw"
"100"	"A100"	"BE_06"	"Block2"	"Stim32"	"CSES"	0	"ML"	1233	3.090963077	"Eng"	"CS"	"supsw"
"101"	"A101"	"BE_03"	"Block2"	"Stim13"	"CSSE"	0	"ML"	1670	3.222716471	"Sp"	"CS"	"nonsw"
"102"	"A102"	"BE_06"	"Block2"	"Stim18"	"CSSE"	1	"CS"	434	2.63748973	"Sp"	"CS"	"supsw"
"103"	"A103"	"BE_03"	"Block2"	"Stim18"	"CSSE"	0	"ML"	1718	3.235023159	"Sp"	"CS"	"nonsw"
"104"	"A104"	"BE_06"	"Block2"	"Stim23"	"CSSE"	1	"CS"	3257	3.512817759	"Sp"	"CS"	"supsw"
"105"	"A105"	"BE_03"	"Block2"	"Stim22"	"CSSE"	0	"ML"	941	2.973589623	"Sp"	"CS"	"nonsw"
"106"	"A106"	"BE_06"	"Block2"	"Stim24"	"CSSE"	1	"CS"	840	2.924279286	"Sp"	"CS"	"supsw"
"107"	"A107"	"BE_03"	"Block2"	"Stim23"	"CSSE"	0	"ML"	302	2.480006943	"Sp"	"CS"	"nonsw"
"108"	"A108"	"BE_06"	"Block2"	"Stim30"	"CSSE"	1	"CS"	791	2.898176483	"Sp"	"CS"	"supsw"
"109"	"A109"	"BE_03"	"Block2"	"Stim24"	"CSSE"	0	"ML"	784	2.894316063	"Sp"	"CS"	"nonsw"
"110"	"A110"	"BE_06"	"Block2"	"Stim36"	"CSSE"	1	"CS"	569	2.755112266	"Sp"	"CS"	"supsw"
"111"	"A111"	"BE_03"	"Block2"	"Stim30"	"CSSE"	0	"ML"	1746	3.242044239	"Sp"	"CS"	"nonsw"
"112"	"A112"	"BE_06"	"Block2"	"Stim04"	"CSSE"	1	"CS"	1216	3.084933575	"Sp"	"CS"	"supsw"
"113"	"A113"	"BE_03"	"Block2"	"Stim36"	"CSSE"	0	"ML"	1003	3.001300933	"Sp"	"CS"	"nonsw"
"114"	"A114"	"BE_06"	"Block2"	"Stim06"	"CSSE"	1	"CS"	1874	3.272769587	"Sp"	"CS"	"supsw"
"115"	"A115"	"BE_03"	"Block2"	"Stim04"	"CSSE"	1	"CS"	1407	3.148294097	"Sp"	"CS"	"nonsw"
"116"	"A116"	"BE_06"	"Block2"	"Stim13"	"CSSE"	0	"ML"	1291	3.110926242	"Sp"	"CS"	"supsw"
"117"	"A117"	"BE_03"	"Block2"	"Stim05"	"CSSE"	0	"ML"	406	2.608526034	"Sp"	"CS"	"nonsw"
"118"	"A118"	"BE_06"	"Block2"	"Stim22"	"CSSE"	0	"ML"	1163	3.065579715	"Sp"	"CS"	"supsw"
"119"	"A119"	"BE_03"	"Block2"	"Stim06"	"CSSE"	0	"ML"	364	2.561101384	"Sp"	"CS"	"nonsw"
"120"	"A120"	"BE_06"	"Block2"	"Stim05"	"CSSE"	0	"ML"	545	2.736396502	"Sp"	"CS"	"supsw"
