Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context	Group
A5283	BE_52	Block1	Stim02	CSES	1	CS	1432	Eng	CS	nonsw
A5284	BE_52	Block1	Stim21	CSES	1	CS	3233	Eng	CS	nonsw
A5285	BE_52	Block1	Stim26	CSES	1	CS	2055	Eng	CS	nonsw
A5286	BE_52	Block1	Stim27	CSES	1	CS	3231	Eng	CS	nonsw
A5287	BE_52	Block1	Stim28	CSES	1	CS	1820	Eng	CS	nonsw
A5288	BE_52	Block1	Stim29	CSES	1	CS	699	Eng	CS	nonsw
A5289	BE_52	Block1	Stim03	CSES	1	CS	1790	Eng	CS	nonsw
A5324	BE_52	Block2	Stim21	CSES	1	CS	484	Eng	CS	nonsw
A5326	BE_52	Block2	Stim27	CSES	1	CS	937	Eng	CS	nonsw
A5330	BE_52	Block2	Stim32	CSES	1	CS	970	Eng	CS	nonsw
A5642	BE_55	Block2	Stim17	CSES	1	CS	309	Eng	CS	nonsw
A5682	BE_55	Block3	Stim17	CSES	1	CS	1061	Eng	CS	nonsw
A5683	BE_55	Block3	Stim02	CSES	1	CS	2085	Eng	CS	nonsw
A5684	BE_55	Block3	Stim21	CSES	1	CS	957	Eng	CS	nonsw
A5726	BE_55	Block4	Stim27	CSES	1	CS	1919	Eng	CS	nonsw
A5730	BE_55	Block4	Stim32	CSES	1	CS	2307	Eng	CS	nonsw
A5766	BE_56	Block1	Stim27	CSES	1	CS	2196	Eng	CS	nonsw
A5801	BE_56	Block2	Stim01	CSES	1	CS	1865	Eng	CS	nonsw
A5883	BE_56	Block4	Stim02	CSES	1	CS	741	Eng	CS	nonsw
A6086	BE_58	Block1	Stim27	CSES	1	CS	3679	Eng	CS	nonsw
A6124	BE_58	Block2	Stim21	CSES	1	CS	1620	Eng	CS	nonsw
A6125	BE_58	Block2	Stim26	CSES	1	CS	1634	Eng	CS	nonsw
A6126	BE_58	Block2	Stim27	CSES	1	CS	472	Eng	CS	nonsw
A6129	BE_58	Block2	Stim03	CSES	1	CS	3923	Eng	CS	nonsw
A6130	BE_58	Block2	Stim32	CSES	1	CS	6324	Eng	CS	nonsw
A6166	BE_58	Block3	Stim27	CSES	1	CS	402	Eng	CS	nonsw
A6170	BE_58	Block3	Stim32	CSES	1	CS	7515	Eng	CS	nonsw
A6206	BE_58	Block4	Stim27	CSES	1	CS	829	Eng	CS	nonsw
A6209	BE_58	Block4	Stim03	CSES	1	CS	369	Eng	CS	nonsw
A6210	BE_58	Block4	Stim32	CSES	1	CS	1097	Eng	CS	nonsw
A6802	BE_66	Block3	Stim17	CSES	1	CS	2580	Eng	CS	nonsw
A6806	BE_66	Block3	Stim27	CSES	1	CS	2139	Eng	CS	nonsw
A6807	BE_66	Block3	Stim28	CSES	1	CS	1651	Eng	CS	nonsw
A6810	BE_66	Block3	Stim32	CSES	1	CS	3582	Eng	CS	nonsw
A6845	BE_66	Block4	Stim26	CSES	1	CS	6748	Eng	CS	nonsw
A6846	BE_66	Block4	Stim27	CSES	1	CS	568	Eng	CS	nonsw
A6848	BE_66	Block4	Stim29	CSES	1	CS	701	Eng	CS	nonsw
A6850	BE_66	Block4	Stim32	CSES	1	CS	657	Eng	CS	nonsw
A6881	BE_67	Block1	Stim01	CSES	1	CS	2440	Eng	CS	nonsw
A6961	BE_67	Block3	Stim01	CSES	1	CS	2597	Eng	CS	nonsw
A7046	BE_69	Block1	Stim27	CSES	1	CS	2990	Eng	CS	nonsw
A7047	BE_69	Block1	Stim28	CSES	1	CS	1553	Eng	CS	nonsw
A7049	BE_69	Block1	Stim03	CSES	1	CS	3683	Eng	CS	nonsw
A7087	BE_69	Block2	Stim28	CSES	1	CS	800	Eng	CS	nonsw
A7127	BE_69	Block3	Stim28	CSES	1	CS	1132	Eng	CS	nonsw
A7203	BE_70	Block1	Stim02	CSES	1	CS	948	Eng	CS	nonsw
A7208	BE_70	Block1	Stim29	CSES	1	CS	1392	Eng	CS	nonsw
A7282	BE_70	Block3	Stim17	CSES	1	CS	1083	Eng	CS	nonsw
A7526	BE_72	Block1	Stim27	CSES	1	CS	1712	Eng	CS	nonsw
A7603	BE_72	Block3	Stim02	CSES	1	CS	5980	Eng	CS	nonsw
A7645	BE_72	Block4	Stim26	CSES	1	CS	1829	Eng	CS	nonsw
A7647	BE_72	Block4	Stim28	CSES	1	CS	2486	Eng	CS	nonsw
A7648	BE_72	Block4	Stim29	CSES	1	CS	1227	Eng	CS	nonsw
A7681	BE_74	Block1	Stim01	CSES	1	CS	9164	Eng	CS	nonsw
A7685	BE_74	Block1	Stim26	CSES	1	CS	1342	Eng	CS	nonsw
A7686	BE_74	Block1	Stim27	CSES	1	CS	7723	Eng	CS	nonsw
A7690	BE_74	Block1	Stim32	CSES	1	CS	1799	Eng	CS	nonsw
A7721	BE_74	Block2	Stim01	CSES	1	CS	2947	Eng	CS	nonsw
A7726	BE_74	Block2	Stim27	CSES	1	CS	433	Eng	CS	nonsw
A7729	BE_74	Block2	Stim03	CSES	1	CS	2151	Eng	CS	nonsw
A7730	BE_74	Block2	Stim32	CSES	1	CS	3801	Eng	CS	nonsw
