Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A1447	BE_36	Block1	Stim26	CSES	English	z	Spanish	ML	2106	Eng	CS
A1448	BE_36	Block1	Stim27	CSES	English	z	Spanish	ML	4656	Eng	CS
A1449	BE_36	Block1	Stim03	CSES	English	z	Spanish	ML	1780	Eng	CS
A1450	BE_36	Block1	Stim32	CSES	English	z	Spanish	ML	2358	Eng	CS
A1485	BE_36	Block2	Stim01	CSES	English	z	Spanish	ML	609	Eng	CS
A1486	BE_36	Block2	Stim17	CSES	English	z	Spanish	ML	1933	Eng	CS
A1487	BE_36	Block2	Stim21	CSES	English	z	Spanish	ML	706	Eng	CS
A1488	BE_36	Block2	Stim28	CSES	English	z	Spanish	ML	3024	Eng	CS
A1489	BE_36	Block2	Stim29	CSES	English	z	Spanish	ML	863	Eng	CS
A1490	BE_36	Block2	Stim32	CSES	English	z	Spanish	ML	1505	Eng	CS
A1527	BE_36	Block3	Stim01	CSES	English	z	Spanish	ML	744	Eng	CS
A1528	BE_36	Block3	Stim21	CSES	English	z	Spanish	ML	440	Eng	CS
A1529	BE_36	Block3	Stim27	CSES	English	z	Spanish	ML	1605	Eng	CS
A1530	BE_36	Block3	Stim32	CSES	English	z	Spanish	ML	2981	Eng	CS
A1567	BE_36	Block4	Stim01	CSES	English	z	Spanish	ML	221	Eng	CS
A1568	BE_36	Block4	Stim17	CSES	English	z	Spanish	ML	535	Eng	CS
A1569	BE_36	Block4	Stim27	CSES	English	z	Spanish	ML	432	Eng	CS
A1570	BE_36	Block4	Stim32	CSES	English	z	Spanish	ML	1284	Eng	CS
A1602	BE_39	Block1	Stim01	CSES	English	z	Spanish	ML	4271	Eng	CS
A1603	BE_39	Block1	Stim17	CSES	English	z	Spanish	ML	2779	Eng	CS
A1604	BE_39	Block1	Stim02	CSES	English	z	Spanish	ML	2039	Eng	CS
A1605	BE_39	Block1	Stim21	CSES	English	z	Spanish	ML	1833	Eng	CS
A1606	BE_39	Block1	Stim26	CSES	English	z	Spanish	ML	2739	Eng	CS
A1607	BE_39	Block1	Stim27	CSES	English	z	Spanish	ML	1999	Eng	CS
A1608	BE_39	Block1	Stim28	CSES	English	z	Spanish	ML	1589	Eng	CS
A1609	BE_39	Block1	Stim03	CSES	English	z	Spanish	ML	1855	Eng	CS
A1610	BE_39	Block1	Stim32	CSES	English	z	Spanish	ML	3925	Eng	CS
A1644	BE_39	Block2	Stim02	CSES	English	z	Spanish	ML	17296	Eng	CS
A1645	BE_39	Block2	Stim21	CSES	English	z	Spanish	ML	7521	Eng	CS
A1646	BE_39	Block2	Stim26	CSES	English	z	Spanish	ML	4074	Eng	CS
A1647	BE_39	Block2	Stim28	CSES	English	z	Spanish	ML	8165	Eng	CS
A1648	BE_39	Block2	Stim29	CSES	English	z	Spanish	ML	8140	Eng	CS
A1649	BE_39	Block2	Stim03	CSES	English	z	Spanish	ML	3251	Eng	CS
A1650	BE_39	Block2	Stim32	CSES	English	z	Spanish	ML	1128	Eng	CS
A1685	BE_39	Block3	Stim01	CSES	English	z	Spanish	ML	5193	Eng	CS
A1686	BE_39	Block3	Stim17	CSES	English	z	Spanish	ML	2630	Eng	CS
A1687	BE_39	Block3	Stim02	CSES	English	z	Spanish	ML	3345	Eng	CS
A1688	BE_39	Block3	Stim21	CSES	English	z	Spanish	ML	1790	Eng	CS
A1689	BE_39	Block3	Stim26	CSES	English	z	Spanish	ML	1070	Eng	CS
A1690	BE_39	Block3	Stim29	CSES	English	z	Spanish	ML	5838	Eng	CS
A1723	BE_39	Block4	Stim02	CSES	English	z	Spanish	ML	10334	Eng	CS
A1724	BE_39	Block4	Stim21	CSES	English	z	Spanish	ML	851	Eng	CS
A1725	BE_39	Block4	Stim26	CSES	English	z	Spanish	ML	2974	Eng	CS
A1726	BE_39	Block4	Stim27	CSES	English	z	Spanish	ML	11104	Eng	CS
