Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context
A2046	BE_68	Block4	Stim17	CSES	0	ML	748	Eng	CS
A2047	BE_68	Block4	Stim02	CSES	0	ML	1299	Eng	CS
A2048	BE_68	Block4	Stim21	CSES	0	ML	2282	Eng	CS
A2049	BE_68	Block4	Stim26	CSES	0	ML	1977	Eng	CS
A205	BE_07	Block2	Stim27	CSES	1	CS	579	Eng	CS
A2050	BE_68	Block4	Stim32	CSES	0	ML	1561	Eng	CS
A206	BE_07	Block2	Stim28	CSES	1	CS	1159	Eng	CS
A207	BE_07	Block2	Stim29	CSES	1	CS	746	Eng	CS
A208	BE_07	Block2	Stim03	CSES	1	CS	830	Eng	CS
A2081	BE_81	Block1	Stim26	CSES	0	ML	1855	Eng	CS
A2082	BE_81	Block1	Stim32	CSES	0	ML	1646	Eng	CS
A2083	BE_81	Block1	Stim01	CSES	1	CS	1656	Eng	CS
A2084	BE_81	Block1	Stim17	CSES	1	CS	4148	Eng	CS
A2085	BE_81	Block1	Stim02	CSES	1	CS	1778	Eng	CS
A2086	BE_81	Block1	Stim21	CSES	1	CS	667	Eng	CS
A2087	BE_81	Block1	Stim27	CSES	1	CS	2813	Eng	CS
A2088	BE_81	Block1	Stim28	CSES	1	CS	505	Eng	CS
A2089	BE_81	Block1	Stim29	CSES	1	CS	872	Eng	CS
A209	BE_07	Block2	Stim32	CSES	1	CS	754	Eng	CS
A2090	BE_81	Block1	Stim03	CSES	1	CS	578	Eng	CS
A210	BE_07	Block2	Stim01	CSES	0	ML	805	Eng	CS
A2121	BE_81	Block2	Stim17	CSES	0	ML	1093	Eng	CS
A2122	BE_81	Block2	Stim02	CSES	0	ML	2127	Eng	CS
A2123	BE_81	Block2	Stim29	CSES	0	ML	1340	Eng	CS
A2124	BE_81	Block2	Stim32	CSES	0	ML	3122	Eng	CS
A2125	BE_81	Block2	Stim01	CSES	1	CS	3161	Eng	CS
A2126	BE_81	Block2	Stim21	CSES	1	CS	4768	Eng	CS
A2127	BE_81	Block2	Stim26	CSES	1	CS	2974	Eng	CS
A2128	BE_81	Block2	Stim27	CSES	1	CS	778	Eng	CS
A2129	BE_81	Block2	Stim28	CSES	1	CS	579	Eng	CS
A2130	BE_81	Block2	Stim03	CSES	1	CS	2872	Eng	CS
A2161	BE_81	Block3	Stim01	CSES	0	ML	2591	Eng	CS
A2162	BE_81	Block3	Stim17	CSES	0	ML	3026	Eng	CS
A2163	BE_81	Block3	Stim29	CSES	0	ML	3151	Eng	CS
A2164	BE_81	Block3	Stim32	CSES	0	ML	26687	Eng	CS
A2165	BE_81	Block3	Stim02	CSES	1	CS	385	Eng	CS
A2166	BE_81	Block3	Stim21	CSES	1	CS	1559	Eng	CS
A2167	BE_81	Block3	Stim26	CSES	1	CS	4869	Eng	CS
A2168	BE_81	Block3	Stim27	CSES	1	CS	8611	Eng	CS
A2169	BE_81	Block3	Stim28	CSES	1	CS	1128	Eng	CS
A2170	BE_81	Block3	Stim03	CSES	1	CS	3519	Eng	CS
A2201	BE_81	Block4	Stim01	CSES	0	ML	1041	Eng	CS
A2202	BE_81	Block4	Stim21	CSES	0	ML	1200	Eng	CS
A2203	BE_81	Block4	Stim26	CSES	0	ML	2702	Eng	CS
A2204	BE_81	Block4	Stim27	CSES	0	ML	1342	Eng	CS
A2205	BE_81	Block4	Stim03	CSES	0	ML	1758	Eng	CS
A2206	BE_81	Block4	Stim32	CSES	0	ML	2039	Eng	CS
A2207	BE_81	Block4	Stim17	CSES	1	CS	22218	Eng	CS
A2208	BE_81	Block4	Stim02	CSES	1	CS	3590	Eng	CS
A2209	BE_81	Block4	Stim28	CSES	1	CS	2514	Eng	CS
A2210	BE_81	Block4	Stim29	CSES	1	CS	3041	Eng	CS
A2241	BE_83	Block1	Stim01	CSES	0	ML	504	Eng	CS
A2242	BE_83	Block1	Stim17	CSES	0	ML	780	Eng	CS
A2243	BE_83	Block1	Stim02	CSES	0	ML	531	Eng	CS
A2244	BE_83	Block1	Stim27	CSES	0	ML	2359	Eng	CS
A2245	BE_83	Block1	Stim28	CSES	0	ML	833	Eng	CS
A2246	BE_83	Block1	Stim03	CSES	0	ML	425	Eng	CS
A2247	BE_83	Block1	Stim21	CSES	1	CS	555	Eng	CS
A2248	BE_83	Block1	Stim26	CSES	1	CS	775	Eng	CS
A2249	BE_83	Block1	Stim29	CSES	1	CS	1148	Eng	CS
A2250	BE_83	Block1	Stim32	CSES	1	CS	619	Eng	CS
A2281	BE_83	Block2	Stim01	CSES	0	ML	1023	Eng	CS
A2282	BE_83	Block2	Stim17	CSES	0	ML	3466	Eng	CS
A2283	BE_83	Block2	Stim02	CSES	0	ML	839	Eng	CS
A2284	BE_83	Block2	Stim21	CSES	0	ML	274	Eng	CS
A2285	BE_83	Block2	Stim26	CSES	0	ML	1602	Eng	CS
A2286	BE_83	Block2	Stim27	CSES	0	ML	655	Eng	CS
A2287	BE_83	Block2	Stim29	CSES	0	ML	1765	Eng	CS
A2288	BE_83	Block2	Stim03	CSES	0	ML	343	Eng	CS
A2289	BE_83	Block2	Stim32	CSES	0	ML	973	Eng	CS
A2290	BE_83	Block2	Stim28	CSES	1	CS	1196	Eng	CS
A2321	BE_83	Block3	Stim17	CSES	0	ML	1434	Eng	CS
A2322	BE_83	Block3	Stim02	CSES	0	ML	355	Eng	CS
A2323	BE_83	Block3	Stim26	CSES	0	ML	446	Eng	CS
A2324	BE_83	Block3	Stim28	CSES	0	ML	404	Eng	CS
A2325	BE_83	Block3	Stim32	CSES	0	ML	682	Eng	CS
A2326	BE_83	Block3	Stim01	CSES	1	CS	317	Eng	CS
A2327	BE_83	Block3	Stim21	CSES	1	CS	765	Eng	CS
A2328	BE_83	Block3	Stim27	CSES	1	CS	489	Eng	CS
A2329	BE_83	Block3	Stim29	CSES	1	CS	1061	Eng	CS
A2330	BE_83	Block3	Stim03	CSES	1	CS	319	Eng	CS
A2361	BE_83	Block4	Stim01	CSES	0	ML	608	Eng	CS
A2362	BE_83	Block4	Stim17	CSES	0	ML	533	Eng	CS
A2363	BE_83	Block4	Stim27	CSES	0	ML	310	Eng	CS
A2364	BE_83	Block4	Stim29	CSES	0	ML	864	Eng	CS
A2365	BE_83	Block4	Stim03	CSES	0	ML	501	Eng	CS
A2366	BE_83	Block4	Stim02	CSES	1	CS	268	Eng	CS
A2367	BE_83	Block4	Stim21	CSES	1	CS	1240	Eng	CS
A2368	BE_83	Block4	Stim26	CSES	1	CS	544	Eng	CS
A2369	BE_83	Block4	Stim28	CSES	1	CS	2200	Eng	CS
A2370	BE_83	Block4	Stim32	CSES	1	CS	2359	Eng	CS
A2401	BE_85	Block1	Stim26	CSES	0	ML	1612	Eng	CS
A2402	BE_85	Block1	Stim27	CSES	0	ML	1384	Eng	CS
A2403	BE_85	Block1	Stim28	CSES	0	ML	2459	Eng	CS
A2404	BE_85	Block1	Stim03	CSES	0	ML	1119	Eng	CS
