Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A5246	BE_49	Block4	Stim27	CSES	Spanish	z	Spanish	CS	1136	Eng	CS
A5249	BE_49	Block4	Stim03	CSES	Spanish	z	Spanish	CS	1917	Eng	CS
A5282	BE_52	Block1	Stim17	CSES	Spanish	z	Spanish	CS	1649	Eng	CS
A5283	BE_52	Block1	Stim02	CSES	Spanish	z	Spanish	CS	1432	Eng	CS
A5284	BE_52	Block1	Stim21	CSES	Spanish	z	Spanish	CS	3233	Eng	CS
A5285	BE_52	Block1	Stim26	CSES	Spanish	z	Spanish	CS	2055	Eng	CS
A5286	BE_52	Block1	Stim27	CSES	Spanish	z	Spanish	CS	3231	Eng	CS
A5287	BE_52	Block1	Stim28	CSES	Spanish	z	Spanish	CS	1820	Eng	CS
A5288	BE_52	Block1	Stim29	CSES	Spanish	z	Spanish	CS	699	Eng	CS
A5289	BE_52	Block1	Stim03	CSES	Spanish	z	Spanish	CS	1790	Eng	CS
A5324	BE_52	Block2	Stim21	CSES	Spanish	z	Spanish	CS	484	Eng	CS
A5326	BE_52	Block2	Stim27	CSES	Spanish	z	Spanish	CS	937	Eng	CS
A5330	BE_52	Block2	Stim32	CSES	Spanish	z	Spanish	CS	970	Eng	CS
A5642	BE_55	Block2	Stim17	CSES	Spanish	z	Spanish	CS	309	Eng	CS
A5682	BE_55	Block3	Stim17	CSES	Spanish	z	Spanish	CS	1061	Eng	CS
A5683	BE_55	Block3	Stim02	CSES	Spanish	z	Spanish	CS	2085	Eng	CS
A5684	BE_55	Block3	Stim21	CSES	Spanish	z	Spanish	CS	957	Eng	CS
A5726	BE_55	Block4	Stim27	CSES	Spanish	z	Spanish	CS	1919	Eng	CS
A5730	BE_55	Block4	Stim32	CSES	Spanish	z	Spanish	CS	2307	Eng	CS
A5766	BE_56	Block1	Stim27	CSES	Spanish	z	Spanish	CS	2196	Eng	CS
A5801	BE_56	Block2	Stim01	CSES	Spanish	z	Spanish	CS	1865	Eng	CS
A5883	BE_56	Block4	Stim02	CSES	Spanish	z	Spanish	CS	741	Eng	CS
A6086	BE_58	Block1	Stim27	CSES	Spanish	z	Spanish	CS	3679	Eng	CS
A6124	BE_58	Block2	Stim21	CSES	Spanish	z	Spanish	CS	1620	Eng	CS
A6125	BE_58	Block2	Stim26	CSES	Spanish	z	Spanish	CS	1634	Eng	CS
A6126	BE_58	Block2	Stim27	CSES	Spanish	z	Spanish	CS	472	Eng	CS
A6129	BE_58	Block2	Stim03	CSES	Spanish	z	Spanish	CS	3923	Eng	CS
A6130	BE_58	Block2	Stim32	CSES	Spanish	z	Spanish	CS	6324	Eng	CS
A6166	BE_58	Block3	Stim27	CSES	Spanish	z	Spanish	CS	402	Eng	CS
A6170	BE_58	Block3	Stim32	CSES	Spanish	z	Spanish	CS	7515	Eng	CS
A6206	BE_58	Block4	Stim27	CSES	Spanish	z	Spanish	CS	829	Eng	CS
A6209	BE_58	Block4	Stim03	CSES	Spanish	z	Spanish	CS	369	Eng	CS
A6210	BE_58	Block4	Stim32	CSES	Spanish	z	Spanish	CS	1097	Eng	CS
A6802	BE_66	Block3	Stim17	CSES	Spanish	z	Spanish	CS	2580	Eng	CS
A6806	BE_66	Block3	Stim27	CSES	Spanish	z	Spanish	CS	2139	Eng	CS
A6807	BE_66	Block3	Stim28	CSES	Spanish	z	Spanish	CS	1651	Eng	CS
A6810	BE_66	Block3	Stim32	CSES	Spanish	z	Spanish	CS	3582	Eng	CS
A6845	BE_66	Block4	Stim26	CSES	Spanish	z	Spanish	CS	6748	Eng	CS
A6846	BE_66	Block4	Stim27	CSES	Spanish	z	Spanish	CS	568	Eng	CS
A6848	BE_66	Block4	Stim29	CSES	Spanish	z	Spanish	CS	701	Eng	CS
A6850	BE_66	Block4	Stim32	CSES	Spanish	z	Spanish	CS	657	Eng	CS
A6881	BE_67	Block1	Stim01	CSES	Spanish	z	Spanish	CS	2440	Eng	CS
A6961	BE_67	Block3	Stim01	CSES	Spanish	z	Spanish	CS	2597	Eng	CS
A7046	BE_69	Block1	Stim27	CSES	Spanish	z	Spanish	CS	2990	Eng	CS
A7047	BE_69	Block1	Stim28	CSES	Spanish	z	Spanish	CS	1553	Eng	CS
A7049	BE_69	Block1	Stim03	CSES	Spanish	z	Spanish	CS	3683	Eng	CS
A7087	BE_69	Block2	Stim28	CSES	Spanish	z	Spanish	CS	800	Eng	CS
A7127	BE_69	Block3	Stim28	CSES	Spanish	z	Spanish	CS	1132	Eng	CS
A7203	BE_70	Block1	Stim02	CSES	Spanish	z	Spanish	CS	948	Eng	CS
A7208	BE_70	Block1	Stim29	CSES	Spanish	z	Spanish	CS	1392	Eng	CS
A7282	BE_70	Block3	Stim17	CSES	Spanish	z	Spanish	CS	1083	Eng	CS
A7526	BE_72	Block1	Stim27	CSES	Spanish	z	Spanish	CS	1712	Eng	CS
A7603	BE_72	Block3	Stim02	CSES	Spanish	z	Spanish	CS	5980	Eng	CS
A7645	BE_72	Block4	Stim26	CSES	Spanish	z	Spanish	CS	1829	Eng	CS
A7647	BE_72	Block4	Stim28	CSES	Spanish	z	Spanish	CS	2486	Eng	CS
A7648	BE_72	Block4	Stim29	CSES	Spanish	z	Spanish	CS	1227	Eng	CS
