Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context
A3563	BE_73	Block2	Stim03	CSES	1	CS	1907	Eng	CS
A3601	BE_73	Block3	Stim21	CSES	1	CS	2059	Eng	CS
A3641	BE_73	Block4	Stim01	CSES	1	CS	2585	Eng	CS
A3642	BE_73	Block4	Stim21	CSES	1	CS	4059	Eng	CS
A3684	BE_78	Block1	Stim02	CSES	1	CS	2326	Eng	CS
A3685	BE_78	Block1	Stim21	CSES	1	CS	2612	Eng	CS
A3686	BE_78	Block1	Stim26	CSES	1	CS	1186	Eng	CS
A3687	BE_78	Block1	Stim27	CSES	1	CS	9401	Eng	CS
A3688	BE_78	Block1	Stim28	CSES	1	CS	547	Eng	CS
A3689	BE_78	Block1	Stim29	CSES	1	CS	1497	Eng	CS
A3690	BE_78	Block1	Stim32	CSES	1	CS	4596	Eng	CS
A3728	BE_78	Block2	Stim27	CSES	1	CS	1969	Eng	CS
A3729	BE_78	Block2	Stim28	CSES	1	CS	1706	Eng	CS
A3730	BE_78	Block2	Stim29	CSES	1	CS	1532	Eng	CS
A3766	BE_78	Block3	Stim17	CSES	1	CS	2756	Eng	CS
A3767	BE_78	Block3	Stim21	CSES	1	CS	958	Eng	CS
A3768	BE_78	Block3	Stim28	CSES	1	CS	1663	Eng	CS
A3769	BE_78	Block3	Stim03	CSES	1	CS	1627	Eng	CS
A3770	BE_78	Block3	Stim32	CSES	1	CS	3927	Eng	CS
A3808	BE_78	Block4	Stim27	CSES	1	CS	359	Eng	CS
A3809	BE_78	Block4	Stim28	CSES	1	CS	3088	Eng	CS
A3810	BE_78	Block4	Stim29	CSES	1	CS	1086	Eng	CS
A3846	BE_79	Block1	Stim01	CSES	1	CS	870	Eng	CS
A3847	BE_79	Block1	Stim26	CSES	1	CS	954	Eng	CS
A3848	BE_79	Block1	Stim27	CSES	1	CS	3606	Eng	CS
A3849	BE_79	Block1	Stim28	CSES	1	CS	765	Eng	CS
A3850	BE_79	Block1	Stim29	CSES	1	CS	1027	Eng	CS
A3888	BE_79	Block2	Stim01	CSES	1	CS	575	Eng	CS
A3889	BE_79	Block2	Stim29	CSES	1	CS	645	Eng	CS
A3890	BE_79	Block2	Stim32	CSES	1	CS	529	Eng	CS
A3929	BE_79	Block3	Stim26	CSES	1	CS	4288	Eng	CS
A3930	BE_79	Block3	Stim28	CSES	1	CS	380	Eng	CS
A3967	BE_79	Block4	Stim17	CSES	1	CS	1068	Eng	CS
A3968	BE_79	Block4	Stim26	CSES	1	CS	587	Eng	CS
A3969	BE_79	Block4	Stim28	CSES	1	CS	2167	Eng	CS
A3970	BE_79	Block4	Stim32	CSES	1	CS	367	Eng	CS
A487	BE_11	Block1	Stim17	CSES	0	ML	1951	Eng	CS
A488	BE_11	Block1	Stim21	CSES	0	ML	1227	Eng	CS
A489	BE_11	Block1	Stim29	CSES	0	ML	1556	Eng	CS
A490	BE_11	Block1	Stim32	CSES	0	ML	1441	Eng	CS
A522	BE_11	Block2	Stim01	CSES	0	ML	1576	Eng	CS
A523	BE_11	Block2	Stim17	CSES	0	ML	1526	Eng	CS
A524	BE_11	Block2	Stim02	CSES	0	ML	3966	Eng	CS
A525	BE_11	Block2	Stim21	CSES	0	ML	914	Eng	CS
A526	BE_11	Block2	Stim26	CSES	0	ML	1479	Eng	CS
A527	BE_11	Block2	Stim27	CSES	0	ML	1906	Eng	CS
A528	BE_11	Block2	Stim28	CSES	0	ML	2058	Eng	CS
A529	BE_11	Block2	Stim29	CSES	0	ML	4180	Eng	CS
A530	BE_11	Block2	Stim32	CSES	0	ML	4416	Eng	CS
A565	BE_11	Block3	Stim02	CSES	0	ML	1801	Eng	CS
A566	BE_11	Block3	Stim26	CSES	0	ML	2287	Eng	CS
A567	BE_11	Block3	Stim27	CSES	0	ML	1535	Eng	CS
A568	BE_11	Block3	Stim29	CSES	0	ML	1535	Eng	CS
A569	BE_11	Block3	Stim03	CSES	0	ML	1718	Eng	CS
A570	BE_11	Block3	Stim32	CSES	0	ML	1737	Eng	CS
A602	BE_11	Block4	Stim01	CSES	0	ML	1613	Eng	CS
A603	BE_11	Block4	Stim17	CSES	0	ML	1057	Eng	CS
A604	BE_11	Block4	Stim02	CSES	0	ML	2924	Eng	CS
A605	BE_11	Block4	Stim21	CSES	0	ML	1249	Eng	CS
A606	BE_11	Block4	Stim27	CSES	0	ML	3402	Eng	CS
A607	BE_11	Block4	Stim28	CSES	0	ML	1328	Eng	CS
A608	BE_11	Block4	Stim29	CSES	0	ML	1427	Eng	CS
A609	BE_11	Block4	Stim03	CSES	0	ML	919	Eng	CS
A610	BE_11	Block4	Stim32	CSES	0	ML	1355	Eng	CS
A647	BE_18	Block1	Stim17	CSES	0	ML	1584	Eng	CS
A648	BE_18	Block1	Stim21	CSES	0	ML	1984	Eng	CS
A649	BE_18	Block1	Stim26	CSES	0	ML	2543	Eng	CS
A650	BE_18	Block1	Stim29	CSES	0	ML	824	Eng	CS
A651	BE_18	Block1	Stim32	CSES	0	ML	2353	Eng	CS
A687	BE_18	Block2	Stim17	CSES	0	ML	1519	Eng	CS
A688	BE_18	Block2	Stim21	CSES	0	ML	2349	Eng	CS
A689	BE_18	Block2	Stim27	CSES	0	ML	1866	Eng	CS
A690	BE_18	Block2	Stim03	CSES	0	ML	1549	Eng	CS
A691	BE_18	Block2	Stim32	CSES	0	ML	1964	Eng	CS
A728	BE_18	Block3	Stim02	CSES	0	ML	475	Eng	CS
A729	BE_18	Block3	Stim29	CSES	0	ML	396	Eng	CS
A730	BE_18	Block3	Stim03	CSES	0	ML	886	Eng	CS
A731	BE_18	Block3	Stim32	CSES	0	ML	1184	Eng	CS
A765	BE_18	Block4	Stim01	CSES	0	ML	336	Eng	CS
A766	BE_18	Block4	Stim17	CSES	0	ML	959	Eng	CS
A767	BE_18	Block4	Stim02	CSES	0	ML	461	Eng	CS
A768	BE_18	Block4	Stim21	CSES	0	ML	256	Eng	CS
A769	BE_18	Block4	Stim27	CSES	0	ML	581	Eng	CS
A770	BE_18	Block4	Stim03	CSES	0	ML	380	Eng	CS
A1443	BE_36	Block1	Stim01	CSES	0	ML	1716	Eng	CS
A1444	BE_36	Block1	Stim17	CSES	0	ML	1160	Eng	CS
A1445	BE_36	Block1	Stim02	CSES	0	ML	1891	Eng	CS
A1446	BE_36	Block1	Stim21	CSES	0	ML	1500	Eng	CS
A1447	BE_36	Block1	Stim26	CSES	0	ML	2106	Eng	CS
A1448	BE_36	Block1	Stim27	CSES	0	ML	4656	Eng	CS
A1449	BE_36	Block1	Stim03	CSES	0	ML	1780	Eng	CS
A1450	BE_36	Block1	Stim32	CSES	0	ML	2358	Eng	CS
A1485	BE_36	Block2	Stim01	CSES	0	ML	609	Eng	CS
A1486	BE_36	Block2	Stim17	CSES	0	ML	1933	Eng	CS
A1487	BE_36	Block2	Stim21	CSES	0	ML	706	Eng	CS
A1488	BE_36	Block2	Stim28	CSES	0	ML	3024	Eng	CS
A1489	BE_36	Block2	Stim29	CSES	0	ML	863	Eng	CS
A1490	BE_36	Block2	Stim32	CSES	0	ML	1505	Eng	CS
A1527	BE_36	Block3	Stim01	CSES	0	ML	744	Eng	CS
A1528	BE_36	Block3	Stim21	CSES	0	ML	440	Eng	CS
A1529	BE_36	Block3	Stim27	CSES	0	ML	1605	Eng	CS
A1530	BE_36	Block3	Stim32	CSES	0	ML	2981	Eng	CS
A1567	BE_36	Block4	Stim01	CSES	0	ML	221	Eng	CS
A1568	BE_36	Block4	Stim17	CSES	0	ML	535	Eng	CS
A1569	BE_36	Block4	Stim27	CSES	0	ML	432	Eng	CS
A1570	BE_36	Block4	Stim32	CSES	0	ML	1284	Eng	CS
A1602	BE_39	Block1	Stim01	CSES	0	ML	4271	Eng	CS
A1603	BE_39	Block1	Stim17	CSES	0	ML	2779	Eng	CS
A1604	BE_39	Block1	Stim02	CSES	0	ML	2039	Eng	CS
A1605	BE_39	Block1	Stim21	CSES	0	ML	1833	Eng	CS
A1606	BE_39	Block1	Stim26	CSES	0	ML	2739	Eng	CS
A1607	BE_39	Block1	Stim27	CSES	0	ML	1999	Eng	CS
A1608	BE_39	Block1	Stim28	CSES	0	ML	1589	Eng	CS
A1609	BE_39	Block1	Stim03	CSES	0	ML	1855	Eng	CS
A1610	BE_39	Block1	Stim32	CSES	0	ML	3925	Eng	CS
A1644	BE_39	Block2	Stim02	CSES	0	ML	17296	Eng	CS
A1645	BE_39	Block2	Stim21	CSES	0	ML	7521	Eng	CS
A1646	BE_39	Block2	Stim26	CSES	0	ML	4074	Eng	CS
A1647	BE_39	Block2	Stim28	CSES	0	ML	8165	Eng	CS
A1648	BE_39	Block2	Stim29	CSES	0	ML	8140	Eng	CS
A1649	BE_39	Block2	Stim03	CSES	0	ML	3251	Eng	CS
A1650	BE_39	Block2	Stim32	CSES	0	ML	1128	Eng	CS
A1685	BE_39	Block3	Stim01	CSES	0	ML	5193	Eng	CS
A1686	BE_39	Block3	Stim17	CSES	0	ML	2630	Eng	CS
A1687	BE_39	Block3	Stim02	CSES	0	ML	3345	Eng	CS
A1688	BE_39	Block3	Stim21	CSES	0	ML	1790	Eng	CS
A1689	BE_39	Block3	Stim26	CSES	0	ML	1070	Eng	CS
A1690	BE_39	Block3	Stim29	CSES	0	ML	5838	Eng	CS
A1723	BE_39	Block4	Stim02	CSES	0	ML	10334	Eng	CS
A1724	BE_39	Block4	Stim21	CSES	0	ML	851	Eng	CS
A1725	BE_39	Block4	Stim26	CSES	0	ML	2974	Eng	CS
A1726	BE_39	Block4	Stim27	CSES	0	ML	11104	Eng	CS
A1727	BE_39	Block4	Stim28	CSES	0	ML	1943	Eng	CS
A1728	BE_39	Block4	Stim29	CSES	0	ML	6111	Eng	CS
A1729	BE_39	Block4	Stim03	CSES	0	ML	613	Eng	CS
A1730	BE_39	Block4	Stim32	CSES	0	ML	1666	Eng	CS
A1763	BE_40	Block1	Stim01	CSES	0	ML	331	Eng	CS
A1764	BE_40	Block1	Stim17	CSES	0	ML	1407	Eng	CS
A1765	BE_40	Block1	Stim02	CSES	0	ML	2155	Eng	CS
A1766	BE_40	Block1	Stim21	CSES	0	ML	882	Eng	CS
A1767	BE_40	Block1	Stim28	CSES	0	ML	5444	Eng	CS
A1768	BE_40	Block1	Stim29	CSES	0	ML	1852	Eng	CS
A1769	BE_40	Block1	Stim03	CSES	0	ML	382	Eng	CS
A1770	BE_40	Block1	Stim32	CSES	0	ML	1443	Eng	CS
A1806	BE_40	Block2	Stim01	CSES	0	ML	1690	Eng	CS
A1807	BE_40	Block2	Stim17	CSES	0	ML	664	Eng	CS
A1808	BE_40	Block2	Stim02	CSES	0	ML	277	Eng	CS
A1809	BE_40	Block2	Stim21	CSES	0	ML	1362	Eng	CS
A1810	BE_40	Block2	Stim03	CSES	0	ML	820	Eng	CS
A1847	BE_40	Block3	Stim01	CSES	0	ML	823	Eng	CS
A1848	BE_40	Block3	Stim17	CSES	0	ML	1791	Eng	CS
A1849	BE_40	Block3	Stim02	CSES	0	ML	1179	Eng	CS
A1850	BE_40	Block3	Stim26	CSES	0	ML	757	Eng	CS
A1886	BE_40	Block4	Stim01	CSES	0	ML	2302	Eng	CS
A1887	BE_40	Block4	Stim17	CSES	0	ML	795	Eng	CS
A1888	BE_40	Block4	Stim02	CSES	0	ML	1022	Eng	CS
A1889	BE_40	Block4	Stim28	CSES	0	ML	911	Eng	CS
A1890	BE_40	Block4	Stim32	CSES	0	ML	1355	Eng	CS
A2082	BE_47	Block1	Stim01	CSES	0	ML	345	Eng	CS
A2083	BE_47	Block1	Stim17	CSES	0	ML	590	Eng	CS
A2084	BE_47	Block1	Stim02	CSES	0	ML	1060	Eng	CS
A2085	BE_47	Block1	Stim21	CSES	0	ML	770	Eng	CS
A2086	BE_47	Block1	Stim26	CSES	0	ML	744	Eng	CS
A2087	BE_47	Block1	Stim27	CSES	0	ML	301	Eng	CS
A2088	BE_47	Block1	Stim29	CSES	0	ML	1557	Eng	CS
A2089	BE_47	Block1	Stim03	CSES	0	ML	331	Eng	CS
A2090	BE_47	Block1	Stim32	CSES	0	ML	613	Eng	CS
A2124	BE_47	Block2	Stim01	CSES	0	ML	608	Eng	CS
A2125	BE_47	Block2	Stim17	CSES	0	ML	1508	Eng	CS
A2126	BE_47	Block2	Stim02	CSES	0	ML	1086	Eng	CS
A2127	BE_47	Block2	Stim26	CSES	0	ML	1905	Eng	CS
A2128	BE_47	Block2	Stim27	CSES	0	ML	831	Eng	CS
A2129	BE_47	Block2	Stim03	CSES	0	ML	259	Eng	CS
A2130	BE_47	Block2	Stim32	CSES	0	ML	4003	Eng	CS
A2166	BE_47	Block3	Stim01	CSES	0	ML	325	Eng	CS
A2167	BE_47	Block3	Stim02	CSES	0	ML	926	Eng	CS
A2168	BE_47	Block3	Stim27	CSES	0	ML	778	Eng	CS
A2169	BE_47	Block3	Stim03	CSES	0	ML	278	Eng	CS
A2170	BE_47	Block3	Stim32	CSES	0	ML	3008	Eng	CS
A2203	BE_47	Block4	Stim01	CSES	0	ML	464	Eng	CS
A2204	BE_47	Block4	Stim17	CSES	0	ML	1564	Eng	CS
A2205	BE_47	Block4	Stim02	CSES	0	ML	157	Eng	CS
A2206	BE_47	Block4	Stim21	CSES	0	ML	1515	Eng	CS
A2207	BE_47	Block4	Stim26	CSES	0	ML	662	Eng	CS
A2208	BE_47	Block4	Stim27	CSES	0	ML	2125	Eng	CS
A2209	BE_47	Block4	Stim03	CSES	0	ML	241	Eng	CS
A2210	BE_47	Block4	Stim32	CSES	0	ML	1501	Eng	CS
A2726	BE_59	Block1	Stim01	CSES	0	ML	3554	Eng	CS
A2727	BE_59	Block1	Stim17	CSES	0	ML	1969	Eng	CS
A2728	BE_59	Block1	Stim02	CSES	0	ML	3021	Eng	CS
A2729	BE_59	Block1	Stim21	CSES	0	ML	2084	Eng	CS
A2730	BE_59	Block1	Stim26	CSES	0	ML	750	Eng	CS
A2763	BE_59	Block2	Stim01	CSES	0	ML	818	Eng	CS
A2764	BE_59	Block2	Stim17	CSES	0	ML	4044	Eng	CS
A2765	BE_59	Block2	Stim02	CSES	0	ML	3348	Eng	CS
A2766	BE_59	Block2	Stim21	CSES	0	ML	1949	Eng	CS
A2767	BE_59	Block2	Stim26	CSES	0	ML	1646	Eng	CS
A2768	BE_59	Block2	Stim29	CSES	0	ML	2777	Eng	CS
A2769	BE_59	Block2	Stim03	CSES	0	ML	400	Eng	CS
A2770	BE_59	Block2	Stim32	CSES	0	ML	1238	Eng	CS
A2803	BE_59	Block3	Stim01	CSES	0	ML	2444	Eng	CS
A2804	BE_59	Block3	Stim17	CSES	0	ML	5477	Eng	CS
A2805	BE_59	Block3	Stim02	CSES	0	ML	3155	Eng	CS
A2806	BE_59	Block3	Stim21	CSES	0	ML	885	Eng	CS
A2807	BE_59	Block3	Stim26	CSES	0	ML	547	Eng	CS
A2808	BE_59	Block3	Stim27	CSES	0	ML	2632	Eng	CS
A2809	BE_59	Block3	Stim03	CSES	0	ML	415	Eng	CS
A2810	BE_59	Block3	Stim32	CSES	0	ML	2011	Eng	CS
A2842	BE_59	Block4	Stim01	CSES	0	ML	1213	Eng	CS
A2843	BE_59	Block4	Stim17	CSES	0	ML	765	Eng	CS
A2844	BE_59	Block4	Stim02	CSES	0	ML	218	Eng	CS
A2845	BE_59	Block4	Stim21	CSES	0	ML	873	Eng	CS
A2846	BE_59	Block4	Stim27	CSES	0	ML	2980	Eng	CS
A2847	BE_59	Block4	Stim28	CSES	0	ML	538	Eng	CS
A2848	BE_59	Block4	Stim29	CSES	0	ML	1827	Eng	CS
A2849	BE_59	Block4	Stim03	CSES	0	ML	761	Eng	CS
A2850	BE_59	Block4	Stim32	CSES	0	ML	1199	Eng	CS
A2883	BE_61	Block1	Stim01	CSES	0	ML	1518	Eng	CS
A2884	BE_61	Block1	Stim17	CSES	0	ML	1495	Eng	CS
A2885	BE_61	Block1	Stim02	CSES	0	ML	2421	Eng	CS
A2886	BE_61	Block1	Stim21	CSES	0	ML	1703	Eng	CS
A2887	BE_61	Block1	Stim26	CSES	0	ML	1309	Eng	CS
A2888	BE_61	Block1	Stim28	CSES	0	ML	1562	Eng	CS
A2889	BE_61	Block1	Stim29	CSES	0	ML	677	Eng	CS
A2890	BE_61	Block1	Stim03	CSES	0	ML	794	Eng	CS
A2922	BE_61	Block2	Stim01	CSES	0	ML	1444	Eng	CS
A2923	BE_61	Block2	Stim17	CSES	0	ML	1577	Eng	CS
A2924	BE_61	Block2	Stim02	CSES	0	ML	998	Eng	CS
A2925	BE_61	Block2	Stim21	CSES	0	ML	1651	Eng	CS
A2926	BE_61	Block2	Stim26	CSES	0	ML	1974	Eng	CS
A2927	BE_61	Block2	Stim27	CSES	0	ML	893	Eng	CS
A2928	BE_61	Block2	Stim28	CSES	0	ML	498	Eng	CS
A2929	BE_61	Block2	Stim29	CSES	0	ML	1581	Eng	CS
A2930	BE_61	Block2	Stim03	CSES	0	ML	693	Eng	CS
A2962	BE_61	Block3	Stim01	CSES	0	ML	435	Eng	CS
A2963	BE_61	Block3	Stim17	CSES	0	ML	504	Eng	CS
A2964	BE_61	Block3	Stim02	CSES	0	ML	2062	Eng	CS
A2965	BE_61	Block3	Stim21	CSES	0	ML	633	Eng	CS
A2966	BE_61	Block3	Stim27	CSES	0	ML	799	Eng	CS
A2967	BE_61	Block3	Stim28	CSES	0	ML	892	Eng	CS
A2968	BE_61	Block3	Stim29	CSES	0	ML	607	Eng	CS
A2969	BE_61	Block3	Stim03	CSES	0	ML	649	Eng	CS
A2970	BE_61	Block3	Stim32	CSES	0	ML	1068	Eng	CS
A3006	BE_61	Block4	Stim01	CSES	0	ML	560	Eng	CS
A3007	BE_61	Block4	Stim21	CSES	0	ML	938	Eng	CS
A3008	BE_61	Block4	Stim26	CSES	0	ML	1190	Eng	CS
A3009	BE_61	Block4	Stim27	CSES	0	ML	399	Eng	CS
A3010	BE_61	Block4	Stim29	CSES	0	ML	442	Eng	CS
A3044	BE_62	Block1	Stim01	CSES	0	ML	1334	Eng	CS
A3045	BE_62	Block1	Stim17	CSES	0	ML	1385	Eng	CS
A3046	BE_62	Block1	Stim02	CSES	0	ML	2824	Eng	CS
A3047	BE_62	Block1	Stim21	CSES	0	ML	2856	Eng	CS
A3048	BE_62	Block1	Stim26	CSES	0	ML	1580	Eng	CS
A3049	BE_62	Block1	Stim29	CSES	0	ML	1621	Eng	CS
A3050	BE_62	Block1	Stim32	CSES	0	ML	422	Eng	CS
A3083	BE_62	Block2	Stim01	CSES	0	ML	840	Eng	CS
A3084	BE_62	Block2	Stim17	CSES	0	ML	1608	Eng	CS
A3085	BE_62	Block2	Stim02	CSES	0	ML	781	Eng	CS
A3086	BE_62	Block2	Stim21	CSES	0	ML	740	Eng	CS
A3087	BE_62	Block2	Stim27	CSES	0	ML	2578	Eng	CS
A3088	BE_62	Block2	Stim28	CSES	0	ML	2128	Eng	CS
