Subject	Context	Response	Number	Lg_Heard	Main_Context	Group
BE_50	E	CS	10	Eng	ML	supsw
BE_51	E	CS	12	Eng	ML	supsw
BE_53	E	CS	8	Eng	ML	supsw
BE_63	E	CS	10	Eng	ML	supsw
BE_68	E	CS	14	Eng	ML	supsw
BE_06	E	ML	21	Eng	ML	supsw
BE_07	E	ML	19	Eng	ML	supsw
BE_09	E	ML	24	Eng	ML	supsw
BE_19	E	ML	33	Eng	ML	supsw
BE_20	E	ML	23	Eng	ML	supsw
BE_33	E	ML	29	Eng	ML	supsw
BE_34	E	ML	22	Eng	ML	supsw
BE_42	E	ML	28	Eng	ML	supsw
BE_50	E	ML	30	Eng	ML	supsw
BE_51	E	ML	28	Eng	ML	supsw
BE_53	E	ML	32	Eng	ML	supsw
BE_63	E	ML	30	Eng	ML	supsw
BE_68	E	ML	26	Eng	ML	supsw
BE_81	E	CS	10	Eng	ML	supsw
BE_81	E	ML	30	Eng	ML	supsw
BE_83	E	CS	11	Eng	ML	supsw
BE_83	E	ML	29	Eng	ML	supsw
BE_85	E	CS	14	Eng	ML	supsw
BE_85	E	ML	26	Eng	ML	supsw
BE_86	E	CS	13	Eng	ML	supsw
BE_86	E	ML	27	Eng	ML	supsw
BE_87	E	CS	13	Eng	ML	supsw
BE_87	E	ML	27	Eng	ML	supsw
BE_11	E	CS	4	Eng	ML	sw
BE_18	E	CS	14	Eng	ML	sw
BE_36	E	CS	10	Eng	ML	sw
BE_39	E	CS	7	Eng	ML	sw
BE_40	E	CS	6	Eng	ML	sw
BE_47	E	CS	7	Eng	ML	sw
BE_59	E	CS	8	Eng	ML	sw
BE_61	E	CS	13	Eng	ML	sw
BE_62	E	CS	9	Eng	ML	sw
BE_73	E	CS	11	Eng	ML	sw
BE_78	E	CS	9	Eng	ML	sw
BE_79	E	CS	7	Eng	ML	sw
BE_11	E	ML	36	Eng	ML	sw
BE_18	E	ML	26	Eng	ML	sw
BE_36	E	ML	30	Eng	ML	sw
BE_39	E	ML	33	Eng	ML	sw
BE_40	E	ML	34	Eng	ML	sw
BE_47	E	ML	33	Eng	ML	sw
BE_59	E	ML	32	Eng	ML	sw
BE_61	E	ML	27	Eng	ML	sw
BE_62	E	ML	31	Eng	ML	sw
BE_73	E	ML	29	Eng	ML	sw
BE_78	E	ML	31	Eng	ML	sw
BE_79	E	ML	33	Eng	ML	sw
BE_03	S	CS	0	Sp	ML	nonsw
BE_04	S	CS	2	Sp	ML	nonsw
BE_05	S	CS	6	Sp	ML	nonsw
BE_08	S	CS	1	Sp	ML	nonsw
BE_10	S	CS	1	Sp	ML	nonsw
BE_12	S	CS	9	Sp	ML	nonsw
BE_13	S	CS	6	Sp	ML	nonsw
BE_14	S	CS	10	Sp	ML	nonsw
BE_15	S	CS	2	Sp	ML	nonsw
BE_16	S	CS	4	Sp	ML	nonsw
BE_17	S	CS	4	Sp	ML	nonsw
BE_21	S	CS	0	Sp	ML	nonsw
BE_22	S	CS	1	Sp	ML	nonsw
BE_23	S	CS	0	Sp	ML	nonsw
BE_24	S	CS	3	Sp	ML	nonsw
BE_25	S	CS	1	Sp	ML	nonsw
BE_26	S	CS	2	Sp	ML	nonsw
BE_27	S	CS	1	Sp	ML	nonsw
BE_28	S	CS	18	Sp	ML	nonsw
BE_29	S	CS	7	Sp	ML	nonsw
BE_30	S	CS	0	Sp	ML	nonsw
BE_31	S	CS	1	Sp	ML	nonsw
BE_32	S	CS	0	Sp	ML	nonsw
