Subject	Context	Response	Number	Lg_Heard	Main_Context
BE_76	E	CS	1	Eng	ML
BE_77	E	CS	1	Eng	ML
BE_80	E	CS	4	Eng	ML
BE_82	E	CS	5	Eng	ML
BE_84	E	CS	9	Eng	ML
BE_03	E	ML	33	Eng	ML
BE_04	E	ML	39	Eng	ML
BE_05	E	ML	39	Eng	ML
BE_08	E	ML	37	Eng	ML
BE_10	E	ML	40	Eng	ML
BE_12	E	ML	40	Eng	ML
BE_13	E	ML	37	Eng	ML
BE_14	E	ML	39	Eng	ML
BE_15	E	ML	37	Eng	ML
BE_16	E	ML	33	Eng	ML
BE_17	E	ML	36	Eng	ML
BE_21	E	ML	40	Eng	ML
BE_22	E	ML	40	Eng	ML
BE_23	E	ML	40	Eng	ML
BE_24	E	ML	40	Eng	ML
BE_25	E	ML	37	Eng	ML
BE_26	E	ML	38	Eng	ML
BE_27	E	ML	39	Eng	ML
BE_28	E	ML	38	Eng	ML
BE_29	E	ML	32	Eng	ML
BE_30	E	ML	37	Eng	ML
BE_31	E	ML	39	Eng	ML
BE_32	E	ML	40	Eng	ML
BE_35	E	ML	37	Eng	ML
BE_37	E	ML	38	Eng	ML
BE_38	E	ML	40	Eng	ML
BE_41	E	ML	39	Eng	ML
BE_43	E	ML	36	Eng	ML
BE_44	E	ML	37	Eng	ML
BE_45	E	ML	35	Eng	ML
BE_46	E	ML	39	Eng	ML
BE_48	E	ML	36	Eng	ML
BE_49	E	ML	37	Eng	ML
BE_52	E	ML	33	Eng	ML
BE_54	E	ML	38	Eng	ML
BE_55	E	ML	34	Eng	ML
BE_56	E	ML	36	Eng	ML
BE_57	E	ML	38	Eng	ML
BE_58	E	ML	39	Eng	ML
BE_60	E	ML	36	Eng	ML
BE_64	E	ML	39	Eng	ML
BE_65	E	ML	40	Eng	ML
BE_66	E	ML	33	Eng	ML
BE_67	E	ML	39	Eng	ML
BE_69	E	ML	40	Eng	ML
BE_70	E	ML	32	Eng	ML
BE_71	E	ML	39	Eng	ML
BE_72	E	ML	36	Eng	ML
BE_74	E	ML	37	Eng	ML
